url,breed_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
https://www.petfinder.com/dog/crowley-45978947/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Baby,Male,Medium,Short,TRUE,TRUE,TRUE,Crowley,Belleville,NJ,7109
https://www.petfinder.com/dog/spike-on-hold-for-segarra-family-45978908/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Male,Medium,Short,FALSE,FALSE,FALSE,Spike - on hold for Segarra Family,Riverdale,NJ,7457
https://www.petfinder.com/dog/archie-on-hold-for-barone-family-45978893/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Male,Medium,Short,FALSE,FALSE,FALSE,Archie - ON HOLD FOR BARONE FAMILY,Riverdale,NJ,7457
https://www.petfinder.com/dog/stella-45978877/nj/riverdale/p-u-r-r-s-dot-n-pups-animal-rescue-team-inc-nj309/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Adult,Female,Medium,Short,TRUE,TRUE,TRUE,Stella,Riverdale,NJ,7457
https://www.petfinder.com/dog/banner-45968117/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Young,Male,Large,Short,TRUE,TRUE,TRUE,Banner,Belleville,NJ,7109
https://www.petfinder.com/dog/nick-fury-45968110/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Shepherd,Young,Male,Large,Short,TRUE,TRUE,TRUE,Nick Fury,Belleville,NJ,7109
https://www.petfinder.com/dog/babs-p-45967590/nj/belleville/friends-with-four-paws-ok15/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Adult,Female,Small,Short,TRUE,FALSE,TRUE,Babs P,Belleville,NJ,7109
https://www.petfinder.com/dog/kash-45964167/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Male,Large,Medium,TRUE,FALSE,TRUE,Kash,Ringwood,NJ,7456
https://www.petfinder.com/dog/coco-45964158/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Young,Female,Medium,Short,TRUE,FALSE,TRUE,Coco,Ringwood,NJ,7456
https://www.petfinder.com/dog/kassie-45964140/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kassie,Ringwood,NJ,7456
https://www.petfinder.com/dog/kallie-45964112/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kallie,Ringwood,NJ,7456
https://www.petfinder.com/dog/kami-45964099/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Female,Large,Medium,TRUE,FALSE,TRUE,Kami,Ringwood,NJ,7456
https://www.petfinder.com/dog/reece-45964081/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Reece,Ringwood,NJ,7456
https://www.petfinder.com/dog/rylee-45964055/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Shepherd,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Rylee,Ringwood,NJ,7456
https://www.petfinder.com/dog/rubi-45964047/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Australian Shepherd,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Rubi,Ringwood,NJ,7456
https://www.petfinder.com/dog/benji-star-urgt-star-immed-foster-home-needed-45958285/nj/jersey-city/tails-of-love-animal-rescue-inc-ny939/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,American Staffordshire Terrier,Young,Male,Large,Short,TRUE,TRUE,TRUE,Benji *URGT* IMMED FOSTER HOME NEEDED,Jersey City,NJ,7306
https://www.petfinder.com/dog/cheerio-45956484/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Cheerio,Paramus,NJ,7653
https://www.petfinder.com/dog/toastie-45956454/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Toastie,Paramus,NJ,7653
https://www.petfinder.com/dog/pancake-45956440/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Baby,Female,Medium,Short,FALSE,FALSE,TRUE,Pancake,Paramus,NJ,7653
https://www.petfinder.com/dog/waffles-45956365/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Waffles,Paramus,NJ,7653
https://www.petfinder.com/dog/martina-45951254/nj/paramus/bonnies-animal-rescue-kingdom-nj627/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Female,Large,Short,FALSE,FALSE,TRUE,Martina,Paramus,NJ,7653
